X,Y,Z,Label
0.215499,0.764937,-0.606985,6
0.871193,0.0580661,0.487495,7
-0.867926,0.402306,-0.291298,5
0.381241,-0.100341,0.919014,7
0.141635,-0.0722035,-0.987282,7
-0.846297,0.446581,0.290426,5
-0.615121,0.788432,0.000888247,6
0.24572,-0.803414,-0.542353,8
0.215499,0.764937,-0.606985,7
0.871193,0.0580661,0.487495,8
-0.867926,0.402306,-0.291298,6
0.381241,-0.100341,0.919014,8
0.141635,-0.0722035,-0.987282,8
-0.846297,0.446581,0.290426,6
-0.615121,0.788432,0.000888247,7
0.24572,-0.803414,-0.542353,9
0.215499,0.764937,-0.606985,8
0.871193,0.0580661,0.487495,9
-0.867926,0.402306,-0.291298,7
0.381241,-0.100341,0.919014,9
0.141635,-0.0722035,-0.987282,9
-0.846297,0.446581,0.290426,7
-0.615121,0.788432,0.000888247,8
0.24572,-0.803414,-0.542353,10
0.215499,0.764937,-0.606985,9
0.871193,0.0580661,0.487495,10
-0.867926,0.402306,-0.291298,8
0.381241,-0.100341,0.919014,10
0.141635,-0.0722035,-0.987282,10
-0.846297,0.446581,0.290426,8
-0.615121,0.788432,0.000888247,9
0.24572,-0.803414,-0.542353,11
0.215499,0.764937,-0.606985,10
0.871193,0.0580661,0.487495,11
-0.867926,0.402306,-0.291298,9
0.381241,-0.100341,0.919014,11
0.141635,-0.0722035,-0.987282,11
-0.846297,0.446581,0.290426,9
-0.615121,0.788432,0.000888247,10
0.24572,-0.803414,-0.542353,12
0.215499,0.764937,-0.606985,11
0.871193,0.0580661,0.487495,12
-0.867926,0.402306,-0.291298,10
0.381241,-0.100341,0.919014,12
0.141635,-0.0722035,-0.987282,12
-0.846297,0.446581,0.290426,10
-0.615121,0.788432,0.000888247,11
0.24572,-0.803414,-0.542353,13
0.215499,0.764937,-0.606985,12
0.871193,0.0580661,0.487495,13
-0.867926,0.402306,-0.291298,11
0.381241,-0.100341,0.919014,13
0.141635,-0.0722035,-0.987282,13
-0.846297,0.446581,0.290426,11
-0.615121,0.788432,0.000888247,12
0.24572,-0.803414,-0.542353,14
0.215499,0.764937,-0.606985,13
0.871193,0.0580661,0.487495,14
-0.867926,0.402306,-0.291298,12
0.381241,-0.100341,0.919014,14
0.141635,-0.0722035,-0.987282,14
-0.846297,0.446581,0.290426,12
-0.615121,0.788432,0.000888247,13
0.24572,-0.803414,-0.542353,15
0.215499,0.764937,-0.606985,14
0.871193,0.0580661,0.487495,15
-0.867926,0.402306,-0.291298,13
0.381241,-0.100341,0.919014,15
0.141635,-0.0722035,-0.987282,15
-0.846297,0.446581,0.290426,13
-0.615121,0.788432,0.000888247,14
0.24572,-0.803414,-0.542353,16
0.215499,0.764937,-0.606985,15
0.871193,0.0580661,0.487495,16
-0.867926,0.402306,-0.291298,14
0.381241,-0.100341,0.919014,16
0.141635,-0.0722035,-0.987282,16
-0.846297,0.446581,0.290426,14
-0.615121,0.788432,0.000888247,15
0.24572,-0.803414,-0.542353,17
0.215499,0.764937,-0.606985,16
0.871193,0.0580661,0.487495,17
-0.867926,0.402306,-0.291298,15
0.381241,-0.100341,0.919014,17
0.141635,-0.0722035,-0.987282,17
-0.846297,0.446581,0.290426,15
-0.615121,0.788432,0.000888247,16
0.24572,-0.803414,-0.542353,18
0.215499,0.764937,-0.606985,17
0.871193,0.0580661,0.487495,18
-0.867926,0.402306,-0.291298,16
0.381241,-0.100341,0.919014,18
0.141635,-0.0722035,-0.987282,18
-0.846297,0.446581,0.290426,16
-0.615121,0.788432,0.000888247,17
0.24572,-0.803414,-0.542353,19
0.215499,0.764937,-0.606985,18
0.871193,0.0580661,0.487495,19
-0.867926,0.402306,-0.291298,17
0.381241,-0.100341,0.919014,19
0.141635,-0.0722035,-0.987282,19
-0.846297,0.446581,0.290426,17
-0.615121,0.788432,0.000888247,18
0.24572,-0.803414,-0.542353,20
0.215499,0.764937,-0.606985,19
0.871193,0.0580661,0.487495,20
-0.867926,0.402306,-0.291298,18
0.381241,-0.100341,0.919014,20
0.141635,-0.0722035,-0.987282,20
-0.846297,0.446581,0.290426,18
-0.615121,0.788432,0.000888247,19
0.24572,-0.803414,-0.542353,21
0.215499,0.764937,-0.606985,20
0.871193,0.0580661,0.487495,21
-0.867926,0.402306,-0.291298,19
0.381241,-0.100341,0.919014,21
0.141635,-0.0722035,-0.987282,21
-0.846297,0.446581,0.290426,19
-0.615121,0.788432,0.000888247,20
0.24572,-0.803414,-0.542353,22
0.215499,0.764937,-0.606985,21
0.871193,0.0580661,0.487495,22
-0.867926,0.402306,-0.291298,20
0.381241,-0.100341,0.919014,22
0.141635,-0.0722035,-0.987282,22
-0.846297,0.446581,0.290426,20
-0.615121,0.788432,0.000888247,21
0.24572,-0.803414,-0.542353,23
0.215499,0.764937,-0.606985,22
0.871193,0.0580661,0.487495,23
-0.867926,0.402306,-0.291298,21
0.381241,-0.100341,0.919014,23
0.141635,-0.0722035,-0.987282,23
-0.846297,0.446581,0.290426,21
-0.615121,0.788432,0.000888247,22
0.24572,-0.803414,-0.542353,24
0.215499,0.764937,-0.606985,23
0.871193,0.0580661,0.487495,24
-0.867926,0.402306,-0.291298,22
0.381241,-0.100341,0.919014,24
0.141635,-0.0722035,-0.987282,24
-0.846297,0.446581,0.290426,22
-0.615121,0.788432,0.000888247,23
0.24572,-0.803414,-0.542353,25
0.215499,0.764937,-0.606985,24
0.871193,0.0580661,0.487495,25
-0.867926,0.402306,-0.291298,23
0.381241,-0.100341,0.919014,25
0.141635,-0.0722035,-0.987282,25
-0.846297,0.446581,0.290426,23
-0.615121,0.788432,0.000888247,24
0.24572,-0.803414,-0.542353,26
0.215499,0.764937,-0.606985,25
0.871193,0.0580661,0.487495,26
-0.867926,0.402306,-0.291298,24
0.381241,-0.100341,0.919014,26
0.141635,-0.0722035,-0.987282,26
-0.846297,0.446581,0.290426,24
-0.615121,0.788432,0.000888247,25
0.24572,-0.803414,-0.542353,27
0.215499,0.764937,-0.606985,26
0.871193,0.0580661,0.487495,27
-0.867926,0.402306,-0.291298,25
0.381241,-0.100341,0.919014,27
0.141635,-0.0722035,-0.987282,27
-0.846297,0.446581,0.290426,25
-0.615121,0.788432,0.000888247,26
0.24572,-0.803414,-0.542353,28
0.215499,0.764937,-0.606985,27
0.871193,0.0580661,0.487495,28
-0.867926,0.402306,-0.291298,26
0.381241,-0.100341,0.919014,28
0.141635,-0.0722035,-0.987282,28
-0.846297,0.446581,0.290426,26
-0.615121,0.788432,0.000888247,27
0.24572,-0.803414,-0.542353,29
0.215499,0.764937,-0.606985,28
0.871193,0.0580661,0.487495,29
-0.867926,0.402306,-0.291298,27
0.381241,-0.100341,0.919014,29
0.141635,-0.0722035,-0.987282,29
-0.846297,0.446581,0.290426,27
-0.615121,0.788432,0.000888247,28
0.24572,-0.803414,-0.542353,30
0.215499,0.764937,-0.606985,29
0.871193,0.0580661,0.487495,30
-0.867926,0.402306,-0.291298,28
0.381241,-0.100341,0.919014,30
0.141635,-0.0722035,-0.987282,30
-0.846297,0.446581,0.290426,28
-0.615121,0.788432,0.000888247,29
0.24572,-0.803414,-0.542353,31
0.215499,0.764937,-0.606985,30
0.871193,0.0580661,0.487495,31
-0.867926,0.402306,-0.291298,29
0.381241,-0.100341,0.919014,31
0.141635,-0.0722035,-0.987282,31
-0.846297,0.446581,0.290426,29
-0.615121,0.788432,0.000888247,30
0.24572,-0.803414,-0.542353,32
0.215499,0.764937,-0.606985,31
0.871193,0.0580661,0.487495,32
-0.867926,0.402306,-0.291298,30
0.381241,-0.100341,0.919014,32
